"date","pdsi","coord","day","month","year"
1985-05-20,0.880000000000001,"Bovill",20,5,1985
1985-05-25,0.710000000000001,"Bovill",25,5,1985
1985-05-30,0.68,"Bovill",30,5,1985
1985-06-04,0.67,"Bovill",4,6,1985
1985-06-09,0.76,"Bovill",9,6,1985
1985-06-14,0.82,"Bovill",14,6,1985
1985-06-19,0.870000000000001,"Bovill",19,6,1985
1985-06-24,0.92,"Bovill",24,6,1985
1985-06-29,0.860000000000001,"Bovill",29,6,1985
1985-07-04,0.780000000000001,"Bovill",4,7,1985
1985-07-09,0.66,"Bovill",9,7,1985
1985-07-14,0.57,"Bovill",14,7,1985
1985-07-19,-1.36,"Bovill",19,7,1985
1985-07-24,-1.46,"Bovill",24,7,1985
1985-07-29,-1.57,"Bovill",29,7,1985
1985-08-03,-1.6,"Bovill",3,8,1985
1985-08-08,-1.66,"Bovill",8,8,1985
1985-08-13,-1.62,"Bovill",13,8,1985
1985-08-18,-1.56,"Bovill",18,8,1985
1985-08-23,-1.45,"Bovill",23,8,1985
1985-08-28,-1.31,"Bovill",28,8,1985
1985-09-02,-1.23,"Bovill",2,9,1985
1985-09-07,-1.09,"Bovill",7,9,1985
1985-09-12,-0.969999999999999,"Bovill",12,9,1985
1985-09-17,-0.68,"Bovill",17,9,1985
1985-09-22,1.02,"Bovill",22,9,1985
1985-09-27,1.26,"Bovill",27,9,1985
1985-10-02,1.47,"Bovill",2,10,1985
1985-10-07,1.65,"Bovill",7,10,1985
1985-10-12,1.76,"Bovill",12,10,1985
1985-10-17,1.71,"Bovill",17,10,1985
1985-10-22,1.68,"Bovill",22,10,1985
1985-10-27,1.71,"Bovill",27,10,1985
1985-11-01,1.78,"Bovill",1,11,1985
1985-11-06,1.84,"Bovill",6,11,1985
1985-11-11,1.88,"Bovill",11,11,1985
1985-11-16,1.96,"Bovill",16,11,1985
1985-11-21,2.01,"Bovill",21,11,1985
1985-11-26,2.04,"Bovill",26,11,1985
1985-12-01,2.06,"Bovill",1,12,1985
1985-12-06,2.07,"Bovill",6,12,1985
1985-12-11,2.04,"Bovill",11,12,1985
1985-12-16,1.95,"Bovill",16,12,1985
1985-12-21,1.84,"Bovill",21,12,1985
1985-12-26,1.75,"Bovill",26,12,1985
1985-12-31,1.66,"Bovill",31,12,1985
1986-01-05,1.61,"Bovill",5,1,1986
1986-01-10,1.53,"Bovill",10,1,1986
